	ID	Taxa	Kingdom	Seq_Length	Site	Group
176	C7G3K3	Liocheles australasiae	Metazoa	80	21	2
177	Q9LLT1	Juniperus virginiana	Viridiplantae	367	21	2
178	Q27972	Bos taurus	Metazoa	361	24	2
179	Q9NBW4	Theromyzon tessulatum	Metazoa	101	19	2
180	P09486	Homo sapiens	Metazoa	303	17	2
181	P28906	Homo sapiens	Metazoa	385	31	2
182	Q9Y2I2	Homo sapiens	Metazoa	539	28	2
183	O15455	Homo sapiens	Metazoa	904	23	2
184	Q28862	Bos taurus	Metazoa	310	16	2
185	B4FZ87	Zea mays	Viridiplantae	396	31	2
186	P12729	Dictyostelium discoideum	other	168	19	2
187	Q6ZSA7	Homo sapiens	Metazoa	298	34	2
188	Q9BZM5	Homo sapiens	Metazoa	246	25	2
189	O42807	Aspergillus niger	Fungi	281	21	2
190	Q9ES58	Rattus norvegicus	Metazoa	327	23	2
191	O43291	Homo sapiens	Metazoa	252	27	2
192	P05117	Solanum lycopersicum	Viridiplantae	457	24	2
193	P82384	Drosophila melanogaster	Metazoa	92	16	2
194	O35310	Mus musculus	Metazoa	311	20	2
195	P0DUS5	Doratifera vulnerans	Metazoa	57	24	2
196	Q8T0W1	Pimpla hypochondriaca	Metazoa	115	22	2
197	Q9NRR1	Homo sapiens	Metazoa	136	22	2
198	P81160	Drosophila melanogaster	Metazoa	54	21	2
199	Q7Z0T3	Aplysia californica	Metazoa	125	22	2
200	P01903	Homo sapiens	Metazoa	254	25	2
201	Q27082	Tachypleus tridentatus	Metazoa	673	19	2
202	P02462	Homo sapiens	Metazoa	1669	27	2
203	O00206	Homo sapiens	Metazoa	839	23	2
204	P06865	Homo sapiens	Metazoa	529	22	2
205	Q9D6Y1	Mus musculus	Metazoa	273	21	2
206	P58154	Lymnaea stagnalis	Metazoa	229	19	2
207	P01830	Rattus norvegicus	Metazoa	161	19	2
208	Q92643	Homo sapiens	Metazoa	395	27	2
209	P78581	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	588	18	2
