	ID	Taxa	Kingdom	Seq_Length	Site	Group
352	P15289	Homo sapiens	Metazoa	507	18	3
353	P33681	Homo sapiens	Metazoa	288	34	3
354	P81941	Pseudopleuronectes americanus	Metazoa	68	22	3
355	P26842	Homo sapiens	Metazoa	260	19	3
356	P20757	Ovis aries	Metazoa	476	24	3
357	Q8X150	Gaeumannomyces tritici	Fungi	618	16	3
358	Q8MI01	Bos taurus	Metazoa	330	23	3
359	P20462	Notamacropus eugenii	Metazoa	176	18	3
360	P08796	Dictyostelium discoideum	other	514	19	3
361	O13547	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	238	22	3
362	G4ZHR2	Phytophthora sojae (strain P6497)	other	241	19	3
363	Q8T1G4	Dictyostelium discoideum	other	181	19	3
364	P0DPZ2	Scolopendra dehaani	Metazoa	101	23	3
365	P02649	Homo sapiens	Metazoa	317	18	3
366	Q9UIK5	Homo sapiens	Metazoa	374	40	3
367	P53366	Sus scrofa	Metazoa	188	21	3
368	Q8NBN3	Homo sapiens	Metazoa	555	21	3
369	Q6UWL6	Homo sapiens	Metazoa	708	20	3
370	P02701	Gallus gallus	Metazoa	152	24	3
371	Q29422	Ovis aries	Metazoa	333	20	3
372	D4A540	Rattus norvegicus	Metazoa	148	31	3
373	P0C8G7	Pomacea canaliculata	Metazoa	286	30	3
374	P23044	Robillarda sp. (strain Y-20)	Fungi	385	17	3
375	O14773	Homo sapiens	Metazoa	563	19	3
376	P81605	Homo sapiens	Metazoa	110	19	3
377	P02779	Oryctolagus cuniculus	Metazoa	91	21	3
378	P14625	Homo sapiens	Metazoa	803	21	3
379	A0A1S3PBB7	Salmo salar	Metazoa	375	23	3
380	Q9NZ53	Homo sapiens	Metazoa	605	32	3
381	O54861	Rattus norvegicus	Metazoa	825	31	3
382	P27797	Homo sapiens	Metazoa	417	17	3
383	P48842	Aspergillus aculeatus	Fungi	350	16	3
384	Q9UAD0	Olivierus martensii	Metazoa	59	24	3
385	A0A482A9N4	Talaromyces verruculosus	Fungi	328	21	3
386	Q9Y4X3	Homo sapiens	Metazoa	112	24	3
387	Q0P569	Bos taurus	Metazoa	474	24	3
388	P0CS93	Gibberella zeae	Fungi	680	24	3
389	O75462	Homo sapiens	Metazoa	422	37	3
390	W1I921	Achatina achatina	Metazoa	184	26	3
391	Q13445	Homo sapiens	Metazoa	227	23	3
392	P30440	Felis catus	Metazoa	109	17	3
393	P04275	Homo sapiens	Metazoa	2813	22	3
394	Q99ML8	Mus musculus	Metazoa	113	23	3
395	P20062	Homo sapiens	Metazoa	427	18	3
396	P82358	Acanthoscurria gomesiana	Metazoa	84	23	3
397	P18181	Mus musculus	Metazoa	240	22	3
398	P20774	Homo sapiens	Metazoa	298	20	3
399	O88917	Rattus norvegicus	Metazoa	1515	24	3
400	Q9TVX3	Olivierus martensii	Metazoa	61	28	3
401	Q8J0K5	Talaromyces funiculosus	Fungi	282	39	3
402	P86872	Margaritifera margaritifera	Metazoa	260	19	3
403	P69770	Conus marmoreus	Metazoa	94	25	3
404	Q9P0V8	Homo sapiens	Metazoa	285	22	3
405	Q556R7	Dictyostelium discoideum	other	303	24	3
406	Q07654	Homo sapiens	Metazoa	80	21	3
407	P19594	Glycine max	Viridiplantae	158	21	3
408	Q10NX8	Oryza sativa subsp. japonica	Viridiplantae	858	30	3
409	P27731	Gallus gallus	Metazoa	150	20	3
410	Q99935	Homo sapiens	Metazoa	248	21	3
411	P02230	Chironomus thummi thummi	Metazoa	151	15	3
412	Q9ZT64	Pinus contorta	Viridiplantae	513	23	3
413	Q4V4I9	Drosophila melanogaster	Metazoa	182	22	3
414	A7L035	Chironex fleckeri	Metazoa	456	20	3
415	O14791	Homo sapiens	Metazoa	398	27	3
416	Q06KA5	Phlebotomus duboscqi	Metazoa	142	20	3
417	O18998	Oryctolagus cuniculus	Metazoa	281	21	3
418	P13612	Homo sapiens	Metazoa	1032	33	3
419	Q8ISL8	Apis mellifera	Metazoa	78	24	3
420	Q02596	Mus musculus	Metazoa	151	19	3
421	Q8T0Y7	Aplysia californica	Metazoa	141	26	3
422	Q7M3V1	Chelonus sp. nr. curvimaculatus	Metazoa	246	20	3
423	P02774	Homo sapiens	Metazoa	474	16	3
424	P14925	Rattus norvegicus	Metazoa	976	25	3
425	Q6UXH1	Homo sapiens	Metazoa	353	24	3
426	Q18184	Caenorhabditis elegans	Metazoa	89	23	3
427	O55038	Mus musculus	Metazoa	109	21	3
428	Q805F3	Xenopus laevis	Metazoa	397	16	3
429	Q96AP7	Homo sapiens	Metazoa	390	29	3
430	P41543	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	476	22	3
431	Q8WPJ2	Mytilus edulis	Metazoa	367	17	3
432	P0C8E7	Rhipicephalus sanguineus	Metazoa	114	20	3
433	P86929	Metaphire guillelmi	Metazoa	73	14	3
434	Q6IWZ0	Aplysia californica	Metazoa	535	18	3
435	G5EC68	Caenorhabditis elegans	Metazoa	85	17	3
436	O96910	Aplysia californica	Metazoa	76	18	3
437	Q8I7X1	Porcellio scaber	Metazoa	145	21	3
438	P35785	Vespula pensylvanica	Metazoa	227	23	3
439	P09586	Mus musculus	Metazoa	222	31	3
440	Q06K61	Phlebotomus duboscqi	Metazoa	516	20	3
441	O35806	Rattus norvegicus	Metazoa	1764	35	3
442	Q8MMJ7	Opisthacanthus madagascariensis	Metazoa	68	23	3
443	Q06KA2	Phlebotomus duboscqi	Metazoa	249	19	3
444	O96059	Bombyx mori	Metazoa	66	24	3
445	P20068	Rattus norvegicus	Metazoa	169	22	3
446	P01076	Solanum lycopersicum	Viridiplantae	77	32	3
447	Q90W22	Aquarana catesbeiana	Metazoa	114	24	3
448	Q5B833	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	387	24	3
449	Q8NBJ9	Homo sapiens	Metazoa	832	18	3
450	Q99969	Homo sapiens	Metazoa	163	20	3
451	P06205	Limulus polyphemus	Metazoa	242	24	3
452	Q6RG02	Penaeus merguiensis	Metazoa	2586	18	3
453	Q08334	Homo sapiens	Metazoa	325	19	3
454	P07712	Aplysia californica	Metazoa	112	23	3
455	P19801	Homo sapiens	Metazoa	751	19	3
456	P80370	Homo sapiens	Metazoa	383	23	3
457	Q9BX59	Homo sapiens	Metazoa	468	18	3
458	P85213	Galleria mellonella	Metazoa	72	29	3
459	P81295	Juniperus ashei	Viridiplantae	225	26	3
460	Q6TPK4	Actinidia deliciosa	Viridiplantae	116	26	3
461	O42720	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432)	Fungi	110	32	3
462	Q6UX27	Homo sapiens	Metazoa	236	16	3
463	Q90WJ9	Takifugu pardalis	Metazoa	391	20	3
464	P09619	Homo sapiens	Metazoa	1106	32	3
465	Q96PL1	Homo sapiens	Metazoa	93	21	3
466	G4V4F9	Cupiennius salei	Metazoa	97	19	3
467	F1RRV3	Sus scrofa	Metazoa	2692	19	3
468	Q9UKZ9	Homo sapiens	Metazoa	415	23	3
469	P54660	Dictyostelium discoideum	other	143	22	3
470	P21978	Leishmania amazonensis	other	476	32	3
471	Q9UAH3	Pinctada fucata	Metazoa	129	23	3
472	Q8LD43	Arabidopsis thaliana	Viridiplantae	62	22	3
473	Q8MI35	Sus scrofa	Metazoa	152	32	3
474	P0DUQ6	Conus planorbis	Metazoa	70	21	3
475	B0JFB8	Antheraea mylitta	Metazoa	105	19	3
476	O43155	Homo sapiens	Metazoa	660	35	3
477	Q9NAX4	Dictyostelium discoideum	other	464	17	3
478	P04925	Mus musculus	Metazoa	254	22	3
479	Q63617	Rattus norvegicus	Metazoa	999	32	3
480	P00760	Bos taurus	Metazoa	246	17	3
481	P81999	Canis lupus familiaris	Metazoa	358	22	3
482	P33487	Arabidopsis thaliana	Viridiplantae	198	33	3
483	Q8I948	Acanthoscurria gomesiana	Metazoa	156	23	3
484	Q6IV20	Gallus gallus	Metazoa	104	22	3
