	ID	Taxa	Kingdom	Seq_Length	Site	Group
529	Q86IV5	Dictyostelium discoideum	other	258	21	4
530	P12318	Homo sapiens	Metazoa	317	33	4
531	P10675	Schistocerca americana	Metazoa	662	24	4
532	Q9NQ25	Homo sapiens	Metazoa	335	22	4
533	Q5UCC4	Homo sapiens	Metazoa	262	25	4
534	P22864	Aspergillus niger	Fungi	373	19	4
535	P08603	Homo sapiens	Metazoa	1231	18	4
536	Q2ULM2	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	496	16	4
537	P10762	Locusta migratoria	Metazoa	179	16	4
538	P04196	Homo sapiens	Metazoa	525	18	4
539	Q5ZPR3	Homo sapiens	Metazoa	534	28	4
540	Q96DU3	Homo sapiens	Metazoa	332	21	4
541	A1IKL2	Anisakis simplex	Metazoa	152	18	4
542	Q9TT95	Sus scrofa	Metazoa	120	22	4
543	Q94733	Rhodnius prolixus	Metazoa	202	23	4
544	Q02795	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	286	19	4
545	P15247	Mus musculus	Metazoa	144	18	4
546	P40259	Homo sapiens	Metazoa	229	28	4
547	P43077	Candida albicans	Fungi	562	22	4
548	O14412	Orpinomyces sp. (strain PC-2)	Fungi	245	29	4
549	Q6ASY2	Oryza sativa subsp. japonica	Viridiplantae	178	26	4
550	B9A8D7	Crassostrea virginica	Metazoa	85	18	4
551	P16382	Mus musculus	Metazoa	810	25	4
552	P23502	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	other	1286	15	4
553	Q8C1Q4	Mus musculus	Metazoa	291	21	4
554	Q868Z9	Drosophila melanogaster	Metazoa	2898	26	4
555	P13611	Homo sapiens	Metazoa	3396	20	4
556	O02826	Sus scrofa	Metazoa	111	20	4
557	B2KNH9	Dendrobium findlayanum	Viridiplantae	167	24	4
558	P32802	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	667	22	4
559	P07727	Rattus norvegicus	Metazoa	457	28	4
560	Q9Y5U5	Homo sapiens	Metazoa	241	25	4
561	P18510	Homo sapiens	Metazoa	177	25	4
562	Q95P90	Olivierus martensii	Metazoa	94	22	4
563	P13917	Glycine max	Viridiplantae	427	24	4
564	O14625	Homo sapiens	Metazoa	94	21	4
565	P22894	Homo sapiens	Metazoa	467	20	4
566	Q01528	Limulus polyphemus	Metazoa	172	19	4
567	P52823	Homo sapiens	Metazoa	247	17	4
568	P18892	Bos taurus	Metazoa	526	26	4
569	P17164	Rattus norvegicus	Metazoa	462	28	4
570	Q9U943	Locusta migratoria	Metazoa	3380	21	4
571	P0DPU3	Scolopendra dehaani	Metazoa	577	25	4
572	P01221	Cyprinus carpio	Metazoa	118	23	4
573	P45561	Sus scrofa	Metazoa	189	16	4
574	Q5MJP5	Anuroctonus phaiodactylus	Metazoa	90	18	4
575	P56829	Ovis aries	Metazoa	195	23	4
576	Q924B5	Rattus norvegicus	Metazoa	250	25	4
577	P05059	Bos taurus	Metazoa	449	18	4
578	P42578	Lymnaea stagnalis	Metazoa	239	18	4
579	Q43413	Capsicum annuum	Viridiplantae	75	27	4
580	P80109	Bos taurus	Metazoa	839	23	4
581	Q12396	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	444	46	4
582	P13385	Homo sapiens	Metazoa	188	30	4
583	P80392	Meleagris gallopavo	Metazoa	64	28	4
584	Q9VH14	Drosophila melanogaster	Metazoa	210	27	4
585	P21837	Dictyostelium discoideum	other	550	19	4
586	Q9NR61	Homo sapiens	Metazoa	685	26	4
587	Q71DJ5	Arabidopsis thaliana	Viridiplantae	393	20	4
588	P55058	Homo sapiens	Metazoa	493	17	4
589	P0DUS8	Doratifera vulnerans	Metazoa	59	17	4
590	Q9VA83	Drosophila melanogaster	Metazoa	227	19	4
591	P86407	Mesobuthus eupeus	Metazoa	75	22	4
592	Q7ZZN8	Naja atra	Metazoa	238	19	4
593	P06028	Homo sapiens	Metazoa	91	19	4
594	P11590	Mus musculus	Metazoa	178	16	4
595	P80513	Bos taurus	Metazoa	179	21	4
596	A0A1S6EK92	Moringa oleifera	Viridiplantae	79	20	4
597	Q6UW88	Homo sapiens	Metazoa	154	22	4
598	Q96HF1	Homo sapiens	Metazoa	295	24	4
599	Q6QD51	Rattus norvegicus	Metazoa	949	27	4
600	P29026	Rhizopus oligosporus	Fungi	540	22	4
601	P25068	Bos taurus	Metazoa	64	26	4
602	G5ED35	Caenorhabditis elegans	Metazoa	135	20	4
603	P10764	Ovis aries	Metazoa	179	24	4
604	P81492	Hirudinaria manillensis	Metazoa	84	20	4
605	A0A0F7YYX3	Conus victoriae	Metazoa	196	25	4
606	Q86SC0	Oryctes rhinoceros	Metazoa	66	26	4
607	Q8NK90	Aspergillus kawachii (strain NBRC 4308)	Fungi	628	25	4
608	P02814	Homo sapiens	Metazoa	79	22	4
609	Q00954	Rattus norvegicus	Metazoa	218	18	4
610	P13686	Homo sapiens	Metazoa	325	21	4
611	P59938	Olivierus martensii	Metazoa	57	21	4
612	P16636	Rattus norvegicus	Metazoa	411	21	4
613	P04706	Zea mays	Viridiplantae	223	19	4
614	Q20224	Caenorhabditis elegans	Metazoa	161	19	4
615	Q969Z4	Homo sapiens	Metazoa	430	25	4
616	O95633	Homo sapiens	Metazoa	263	26	4
617	Q6X4U4	Homo sapiens	Metazoa	206	23	4
