O00300	Homo sapiens	Metazoa	401	21
O00478	Homo sapiens	Metazoa	584	29
O00748	Homo sapiens	Metazoa	559	26
O14763	Homo sapiens	Metazoa	440	55
O43155	Homo sapiens	Metazoa	660	35
O43827	Homo sapiens	Metazoa	346	26
O43866	Homo sapiens	Metazoa	347	19
O60449	Homo sapiens	Metazoa	1722	27
O75629	Homo sapiens	Metazoa	220	31
O94985	Homo sapiens	Metazoa	981	28
O95750	Homo sapiens	Metazoa	216	24
O95881	Homo sapiens	Metazoa	172	26
P01011	Homo sapiens	Metazoa	423	23
P01185	Homo sapiens	Metazoa	164	19
P01270	Homo sapiens	Metazoa	115	25
P01308	Homo sapiens	Metazoa	110	24
P01571	Homo sapiens	Metazoa	189	23
P01579	Homo sapiens	Metazoa	166	23
P01597	Homo sapiens	Metazoa	117	22
P01615	Homo sapiens	Metazoa	120	19
P01764	Homo sapiens	Metazoa	117	19
P01825	Homo sapiens	Metazoa	116	19
P01909	Homo sapiens	Metazoa	254	23
P02649	Homo sapiens	Metazoa	317	18
P02679	Homo sapiens	Metazoa	453	26
P02743	Homo sapiens	Metazoa	223	19
P02745	Homo sapiens	Metazoa	245	22
P02747	Homo sapiens	Metazoa	245	28
P02748	Homo sapiens	Metazoa	559	21
P02771	Homo sapiens	Metazoa	609	18
P02774	Homo sapiens	Metazoa	474	16
P02776	Homo sapiens	Metazoa	101	31
P04062	Homo sapiens	Metazoa	536	39
P04090	Homo sapiens	Metazoa	185	24
P04155	Homo sapiens	Metazoa	84	24
P04180	Homo sapiens	Metazoa	440	24
P04275	Homo sapiens	Metazoa	2813	22
P04844	Homo sapiens	Metazoa	631	22
P05451	Homo sapiens	Metazoa	166	22
P05452	Homo sapiens	Metazoa	202	21
P05814	Homo sapiens	Metazoa	226	15
P06028	Homo sapiens	Metazoa	91	19
P06756	Homo sapiens	Metazoa	1048	30
P06865	Homo sapiens	Metazoa	529	22
P07359	Homo sapiens	Metazoa	652	16
P07998	Homo sapiens	Metazoa	156	28
P08253	Homo sapiens	Metazoa	660	29
P08648	Homo sapiens	Metazoa	1049	41
P08887	Homo sapiens	Metazoa	468	19
P09466	Homo sapiens	Metazoa	180	18
P09603	Homo sapiens	Metazoa	554	32
P10153	Homo sapiens	Metazoa	161	27
P10619	Homo sapiens	Metazoa	480	28
P10645	Homo sapiens	Metazoa	457	18
P10646	Homo sapiens	Metazoa	304	28
P10909	Homo sapiens	Metazoa	449	22
P13473	Homo sapiens	Metazoa	410	28
P13671	Homo sapiens	Metazoa	934	21
P13686	Homo sapiens	Metazoa	325	21
P15529	Homo sapiens	Metazoa	392	34
P15941	Homo sapiens	Metazoa	1255	23
P16112	Homo sapiens	Metazoa	2530	16
P16150	Homo sapiens	Metazoa	400	19
P17050	Homo sapiens	Metazoa	411	17
P18510	Homo sapiens	Metazoa	177	25
P19438	Homo sapiens	Metazoa	455	29
P19835	Homo sapiens	Metazoa	753	20
P21128	Homo sapiens	Metazoa	410	18
P21589	Homo sapiens	Metazoa	574	26
P22455	Homo sapiens	Metazoa	802	21
P23083	Homo sapiens	Metazoa	117	19
P28039	Homo sapiens	Metazoa	575	23
P28335	Homo sapiens	Metazoa	458	32
P32881	Homo sapiens	Metazoa	189	23
P35555	Homo sapiens	Metazoa	2871	24
P35858	Homo sapiens	Metazoa	605	27
P36222	Homo sapiens	Metazoa	383	21
P36897	Homo sapiens	Metazoa	503	33
P38571	Homo sapiens	Metazoa	399	27
P40259	Homo sapiens	Metazoa	229	28
P45452	Homo sapiens	Metazoa	471	19
P47710	Homo sapiens	Metazoa	185	15
P49767	Homo sapiens	Metazoa	419	31
P50895	Homo sapiens	Metazoa	628	31
P52798	Homo sapiens	Metazoa	201	25
P55000	Homo sapiens	Metazoa	103	22
P80098	Homo sapiens	Metazoa	99	23
P80188	Homo sapiens	Metazoa	198	20
P81534	Homo sapiens	Metazoa	67	22
P98066	Homo sapiens	Metazoa	277	17
Q01151	Homo sapiens	Metazoa	205	19
Q02083	Homo sapiens	Metazoa	359	28
Q02747	Homo sapiens	Metazoa	115	21
Q03405	Homo sapiens	Metazoa	335	22
Q04756	Homo sapiens	Metazoa	655	35
Q13162	Homo sapiens	Metazoa	271	37
Q14392	Homo sapiens	Metazoa	662	19
Q14520	Homo sapiens	Metazoa	560	23
Q14802	Homo sapiens	Metazoa	87	20
Q15582	Homo sapiens	Metazoa	683	23
Q15848	Homo sapiens	Metazoa	244	18
Q16270	Homo sapiens	Metazoa	282	26
Q16568	Homo sapiens	Metazoa	116	27
Q16627	Homo sapiens	Metazoa	93	19
Q30154	Homo sapiens	Metazoa	266	29
Q5ZPR3	Homo sapiens	Metazoa	534	28
Q6UW88	Homo sapiens	Metazoa	154	22
Q6UX27	Homo sapiens	Metazoa	236	16
Q6UXD5	Homo sapiens	Metazoa	910	27
Q6WN34	Homo sapiens	Metazoa	429	25
Q7L513	Homo sapiens	Metazoa	359	27
Q86WA6	Homo sapiens	Metazoa	291	37
Q86YD3	Homo sapiens	Metazoa	366	26
Q86YL7	Homo sapiens	Metazoa	162	22
Q8IUH8	Homo sapiens	Metazoa	684	21
Q8N126	Homo sapiens	Metazoa	398	24
Q8N474	Homo sapiens	Metazoa	314	31
Q8NBI3	Homo sapiens	Metazoa	349	25
Q92563	Homo sapiens	Metazoa	424	22
Q92956	Homo sapiens	Metazoa	283	38
Q969N2	Homo sapiens	Metazoa	578	21
Q96FE7	Homo sapiens	Metazoa	263	21
Q96PD5	Homo sapiens	Metazoa	576	21
Q99467	Homo sapiens	Metazoa	661	23
Q9BQ51	Homo sapiens	Metazoa	273	19
Q9BYZ8	Homo sapiens	Metazoa	158	22
Q9GZV9	Homo sapiens	Metazoa	251	24
Q9GZX6	Homo sapiens	Metazoa	179	33
Q9H1E1	Homo sapiens	Metazoa	156	28
Q9H293	Homo sapiens	Metazoa	177	32
Q9NWM8	Homo sapiens	Metazoa	211	19
Q9P121	Homo sapiens	Metazoa	344	33
Q9UBP4	Homo sapiens	Metazoa	350	21
Q9UK23	Homo sapiens	Metazoa	515	25
Q9Y2I2	Homo sapiens	Metazoa	539	28
Q9Y5C1	Homo sapiens	Metazoa	460	16
Q9Y5Q6	Homo sapiens	Metazoa	135	22
Q9Y653	Homo sapiens	Metazoa	693	25
Q9Y6C2	Homo sapiens	Metazoa	1016	21
O00175	Homo sapiens	Metazoa	119	26
O00585	Homo sapiens	Metazoa	134	23
O00602	Homo sapiens	Metazoa	326	29
O14625	Homo sapiens	Metazoa	94	21
O14773	Homo sapiens	Metazoa	563	19
O15455	Homo sapiens	Metazoa	904	23
O15467	Homo sapiens	Metazoa	120	23
O60602	Homo sapiens	Metazoa	858	20
O60931	Homo sapiens	Metazoa	367	22
O95711	Homo sapiens	Metazoa	162	20
P00738	Homo sapiens	Metazoa	406	18
P00750	Homo sapiens	Metazoa	562	22
P00751	Homo sapiens	Metazoa	764	25
P01037	Homo sapiens	Metazoa	141	20
P01178	Homo sapiens	Metazoa	125	19
P01242	Homo sapiens	Metazoa	217	26
P01568	Homo sapiens	Metazoa	189	23
P01570	Homo sapiens	Metazoa	189	23
P01593	Homo sapiens	Metazoa	117	22
P01594	Homo sapiens	Metazoa	117	22
P01730	Homo sapiens	Metazoa	458	25
P01903	Homo sapiens	Metazoa	254	25
P02462	Homo sapiens	Metazoa	1669	27
P02654	Homo sapiens	Metazoa	83	26
P02671	Homo sapiens	Metazoa	866	19
P02766	Homo sapiens	Metazoa	147	20
P03971	Homo sapiens	Metazoa	560	24
P04439	Homo sapiens	Metazoa	365	24
P05014	Homo sapiens	Metazoa	189	23
P05067	Homo sapiens	Metazoa	770	17
P05164	Homo sapiens	Metazoa	745	48
P05305	Homo sapiens	Metazoa	212	17
P06312	Homo sapiens	Metazoa	121	20
P07098	Homo sapiens	Metazoa	398	19
P07237	Homo sapiens	Metazoa	508	17
P08174	Homo sapiens	Metazoa	381	34
P08833	Homo sapiens	Metazoa	259	25
